name,neighborhood,borough,website,menu_url,notes
Smacking Burger,West Village,Manhattan,http://smackingburger.com/,https://www.doordash.com/store/smacking-burger-new-york-27978122/,Smash burger takeout specialist
The Noortwyck,West Village,Manhattan,http://www.thenoortwyck.com/,https://images.getbento.com/accounts/cadb1656ea10f187a24422843b7cf02b/media/k6CbxrOLQ6abgwjgFc2g_The%20Noortwyck%20Restaurant%20Week%20Summer%202026.pdf,"Dry-aged cheeseburger, Bleecker Street"
Little Ruby's West Village,West Village,Manhattan,https://www.rubyscafe.com/location/west-village/,https://cititour.com/NYC_News/Little-Rubys-Cafe-is-a-Ray-of-Sunshine-in-the-West-Village/7754/print,Classic beef Bronte burger
The Standard Grill,West Village,Manhattan,https://www.thestandardgrill.com/the-standard-grill-new-york,,"Standard Burger, Meatpacking staple"
Pastis,West Village,Manhattan,https://pastisnyc.com/,https://order.online/store/706319?slug=pastis-315375&pickup=true&hideModal=true&redirected=true,Smashed double cheeseburger favorite
The Happiest Hour,West Village,Manhattan,http://happiesthournyc.com/,,Happiest Burger smash classic
4 Charles Prime Rib,West Village,Manhattan,https://nycprimerib.com/,,"Double Wagyu cheeseburger, Charles Street"
Jack & Charlie's No. 118,West Village,Manhattan,http://www.jackandcharlies118.com/,https://menucollectors.com/jack-charlies-no-118-10011-menu/,Prime-beef bacon cheeseburger
The Mary Lane,West Village,Manhattan,https://www.themarylanenyc.com/,https://www.themarylanenyc.com/menu/brunch/,"Angus burger, brunch and happy-hour"
Bar Six,West Village,Manhattan,https://www.barsixnyc.com/,https://menupages.com/bar-six/502-6th-ave-new-york,Sixth Avenue cheeseburger pub
Employees Only,West Village,Manhattan,http://www.employeesonlynyc.com/,https://www.restaurantji.com/ny/new-york/employees-only-/,"Dry-aged beef burger, speakeasy bar"
Bayard's Ale House,West Village,Manhattan,https://bayardsalehouse.com/,https://www.allmenus.com/ny/new-york/351920-bayards-ale-house/amp/,Charcoal-grilled beef burgers
Petite Boucherie,West Village,Manhattan,unknown,https://menurestaurants.net/pdf/61a2783fa826ba10bfa7320cd490cc0e.pdf,"Boucherie Burger, French bistro"
Corner Bistro,West Village,Manhattan,http://www.cornerbistrony.com/,https://www.trycaviar.com/store/corner-bistro-new-york-23083522/,Broiled Bistro Burger classic
RH Rooftop Restaurant,West Village,Manhattan,http://www.rh.com/newyork/restaurant,,"Rooftop RH burger, Ninth Avenue"
Palma,West Village,Manhattan,https://www.palmanyc.com/,,"Italian burger, Cornelia Street"
Serafina Meatpacking,West Village,Manhattan,unknown,,Meatpacking Italian beef burger
Art Bar,West Village,Manhattan,unknown,,8th Avenue bar burger
Sip & Guzzle,West Village,Manhattan,http://www.sipandguzzlenyc.com/,,"A5 Wagyu Tavern Burger, izakaya"
Suprema Provisions,West Village,Manhattan,https://www.supremanyc.com/,https://www.supremanyc.com/menus/,Short-rib brisket Suprema Burger
Le B,West Village,Manhattan,https://lebnyc.com/,,Dry-aged Angus Le Burger
Chez Margaux,West Village,Manhattan,https://www.chez-margaux.com/,,Members-only Jean-Georges burger
L'Artusi,West Village,Manhattan,https://www.lartusi.com/,http://lartusi.com/menu/,"Signature L'burger, Italian hotspot"
Joseph Leonard,West Village,Manhattan,http://www.josephleonard.com/,,"English muffin burger, neighborhood bistro"
La Bonbonniere,West Village,Manhattan,unknown,https://labonbonniere.netwaiter.com/,"Old-school beefburger, cash-only diner"
The Little Owl,West Village,Manhattan,https://www.thelittleowlnyc.com/,https://thelittleowl.netwaiter.com/new-york/menu/,Pat LaFrieda bacon cheeseburger
The Waverly Inn,West Village,Manhattan,http://www.waverlynyc.com/,https://cititour.com/NYC_Restaurants/The-Waverly-Inn/1178/menu,Historic Bank Street classic burger
Bell Book & Candle,West Village,Manhattan,http://bbandcnyc.com/,https://menupages.com/bell-book-candle/141-w-10th-st-new-york,Rooftop patty-melt BBC Burger
Rosemary's,West Village,Manhattan,https://www.rosemarysnyc.com/location/rosemarys-west-village/,https://menupages.com/rosemarys-enoteca-trattoria/18-greenwich-avenue-new-york,"Dry-aged burger, rooftop Italian spot"
Jack's Wife Freda,West Village,Manhattan,http://www.jackswifefreda.com/,https://jackswifefreda.com/menu/,"Short-rib Jack's Burger, Mediterranean"
Cowgirl,West Village,Manhattan,http://www.cowgirlnyc.com/,https://www.cowgirlnyc.com/menus,Southern Tex-Mex half-pounder burger
7th Street Burger,East Village,Manhattan,https://7thstreetburger.com/,,"Smashburger joint, multiple locations"
Paul's Da Burger Joint,East Village,Manhattan,http://paulsburgersnyc.com/,,Classic corner burger shop
Whitmans,East Village,Manhattan,https://whitmansnyc.com/,,Juicy Lucy specialist
Royale,East Village,Manhattan,http://royalebarnyc.com/,https://cititour.com/NYC_Restaurants/Royale/2781/menu,Neighborhood bar with burgers
Nowon,East Village,Manhattan,https://www.nowonusa.com/,,"Korean-American, legendary cheeseburger"
Brindle Room,East Village,Manhattan,https://brindleroomny.com/,,"Dry-aged burger, cozy bistro"
The Smith,East Village,Manhattan,https://thesmithrestaurant.com/location/east-village/,,"American brasserie, burger menu"
Gotham Burger Social Club,Lower East Side,Manhattan,http://gbsc.nyc/,,Smash burger specialist
Cervo's,Lower East Side,Manhattan,http://cervosnyc.com/,,"Iberian spot, lamb burger (not beef)"
The Flower Shop,Lower East Side,Manhattan,http://theflowershopnyc.com/,,"Retro bar, dry-aged burgers"
Dudley's,Lower East Side,Manhattan,https://www.dudleysnyc.com/,,"Australian pub, Bronte burger"
Raoul's,SoHo,Manhattan,http://raouls.com/,,"Burger au poivre, bar menu"
SoHo Park,SoHo,Manhattan,http://www.sohoparknyc.com,,"Beer garden, Park burger"
Cafe Habana,SoHo,Manhattan,https://www.cafehabana.com/,https://www.cafehabana.com/menu/cafe-habana-nyc/,"Cuban-Mexican, cheeseburger served"
Fanelli Cafe,SoHo,Manhattan,https://fanellicafe.nyc/,,"Historic pub, bison burger"
Cafe Chelsea,Chelsea,Manhattan,https://www.cafechelseanyc.com,,Dry-aged beef burger
Cookshop,Chelsea,Manhattan,https://www.cookshopny.com/,,"Seasonal American, burger offered"
Trailer Park Lounge,Chelsea,Manhattan,http://trailerparklounge.com/,,"Kitschy grill, multiple burgers"
Peter McManus Cafe,Chelsea,Manhattan,http://www.mcmanus.nyc/,,"Irish pub, famous cheeseburger"
Minetta Tavern,Greenwich Village,Manhattan,https://www.minettatavernny.com/,https://wnam-cdn.menuweb.menu/storage/media/companies_menu_pdf/114779189/minetta-tavern-broad-channel-menu.pdf,Black Label burger
Dante,Greenwich Village,Manhattan,https://dante-nyc.com,,"Italian bar, signature burger"
Lord's,Greenwich Village,Manhattan,http://lordsenglish.com/,,"British pub, rarebit burger"
Keens,Midtown,Manhattan,https://keens.com/,,"Steakhouse pub, burger served"
Burger Joint,Midtown,Manhattan,https://www.burgerjointny.com/,,Hidden hotel burger counter
P.J. Clarke's,Midtown,Manhattan,https://pjclarkes.com,,"Classic saloon, Cadillac burger"
Peter Luger Steak House,Williamsburg,Brooklyn,https://peterluger.com/,,Legendary lunch-only steakhouse burger
Diner,Williamsburg,Brooklyn,https://www.dinernyc.com/,,Grass-fed burger in dining car
The Commodore,Williamsburg,Brooklyn,https://www.thecommodorebrooklyn.com/,https://www.thecommodorebrooklyn.com/s/menus_for_web_3_22_DINNER.pdf,Southern pub classic hamburger
Gertie,Williamsburg,Brooklyn,https://www.gertie.nyc/,,Jew-ish diner smashburger classic
Dram Shop,Park Slope,Brooklyn,https://dramshopbrooklyn.com,https://dramshopbrooklyn.com/menu,Gastropub with multiple beef burgers
Fulton Burger,Park Slope,Brooklyn,https://fultonburger.com/brooklyn,,Local counter-service burger joint
Walter's,Fort Greene,Brooklyn,https://www.waltersbrooklyn.com,https://www.waltersbrooklyn.com/menu/lunch/,Classic pub Walter's Burger
The Great Georgiana,Fort Greene,Brooklyn,http://www.thegreatgeorgiana.com/,,Classic burger at local pub
Buttermilk Channel,Carroll Gardens,Brooklyn,https://buttermilkchannelnyc.com/,,Beef burger with NY cheddar
Clover Club,Carroll Gardens,Brooklyn,http://cloverclubny.com/,,Cocktail bar prime beef burger
The Long Island Bar,Cobble Hill,Brooklyn,http://thelongislandbar.com/,,Famed double-patty LI burger
Emily,Clinton Hill,Brooklyn,https://www.pizzalovesemily.com/location/brooklyn/,,Emmy Burger pizza restaurant
James,Prospect Heights,Brooklyn,https://www.jamesrestaurantny.com/,,Upscale grass-fed Angus burger
Roberta's,Bushwick,Brooklyn,https://www.robertaspizza.com/,https://cdn.prod.website-files.com/696159b904660542e3efba81/6a7f524efec40c50edce593e_Bushwick%20Dinner%208_14_26.pdf,"Pizzeria cheeseburger, open daily"
Red Hook Tavern,Red Hook,Brooklyn,http://www.redhooktavern.com/,,Dry-aged burger landmark
